004097,UGRD,JPN101LEC
004098,UGRD,JPN102LEC
007134,UGRD,GER151LEC
007135,UGRD,GER152LEC
007152,UGRD,GER301LEC
007153,UGRD,GER302LEC
007168,UGRD,GER337LEC
301788,UGRD,OPR400TUT
301789,UGRD,OPR401TUT
301790,UGRD,OPR402TUT
301791,UGRD,OPR403TUT
301792,UGRD,OPR404TUT
301793,UGRD,OPR405TUT
017086,UGRD,PSC103LEC
019269,UGRD,PSC102LEC
301633,UGRD,CL112LEC
301644,UGRD,HIS141LR
301645,UGRD,HIS142LR
000034,UGRD,HIS216LEC
001498,UGRD,APY318LEC
006523,UGRD,CL228LEC
301653,UGRD,ENG290LEC
005754,UGRD,SOC375LEC
010560,UGRD,IE412LEC
013112,UGRD,HIS319LEC
015226,UGRD,AHI372LEC
017141,UGRD,PSC326LEC
017145,UGRD,PSC330LEC
017147,UGRD,PSC332LEC
017153,UGRD,PSC338LEC
017161,UGRD,PSC346LEC
017770,UGRD,CSE486LEC
017868,UGRD,PSC430LEC
018808,UGRD,CIE444LEC
019025,UGRD,GGS325SEM
300650,UGRD,EE336LEC
300784,UGRD,HIS406SEM
300801,UGRD,PSC343LEC
301200,UGRD,HIS293LEC
301694,UGRD,HIS418SEM
302109,UGRD,END357SEM
005702,UGRD,SOC101LEC
006383,UGRD,PHI107LEC
009338,UGRD,AHI101LEC
009339,UGRD,AHI102LR
013312,UGRD,MUS113LEC
013745,UGRD,GGS101LEC
016303,UGRD,SSC103SEM
301078,UGRD,PSY121LEC
301157,UGRD,PHI105LEC
301238,UGRD,GEO112LEC
301638,UGRD,PUB101LEC
301656,UGRD,HIS144LR
301703,UGRD,GGS109LEC
000029,UGRD,HIS209LEC
000095,UGRD,AAS264SEM
001465,UGRD,APY107LEC
003151,UGRD,APY275LEC
005132,UGRD,END212LEC
005735,UGRD,SOC229LEC
005819,UGRD,ECO211LEC
006498,UGRD,CL151LEC
009087,UGRD,ARC122LAB
009090,UGRD,ARC211LEC
013768,UGRD,GGS228SEM
013860,UGRD,LIN200LEC
019027,UGRD,GGS241SEM
019281,UGRD,PHI237LEC
019513,UGRD,SOC211LEC
300481,UGRD,AS221LEC
301005,UGRD,DAC104LEC
301195,UGRD,SOC239LEC
301637,UGRD,HIS240LEC
301934,UGRD,DMS201LEC
302285,UGRD,SW225LEC
302456,UGRD,HIS243LEC
302593,UGRD,TH240SEM
303187,UGRD,ES230LEC
303236,UGRD,IDS206SEM
000278,UGRD,MIC401LLB
001109,UGRD,SSC363LEC
002364,UGRD,NMD340LEC
002444,UGRD,BIO305LEC
003164,UGRD,APY312LEC
003211,UGRD,APY394LEC
004148,UGRD,NTR402LEC
004869,UGRD,CSE453LEC
005131,UGRD,END300LEC
005443,UGRD,END308SEM
005612,UGRD,MT401LR
007304,UGRD,DAC432LEC
008933,UGRD,IDS306SEM
010040,UGRD,CIE415LEC
012412,UGRD,ES200LEC
013780,UGRD,GGS360SEM
013808,UGRD,GGS308LEC
013934,UGRD,MAE451LEC
017729,UGRD,CSE442LR
017931,UGRD,MIC301LLB
018033,UGRD,ART375LEC
018074,UGRD,CE404LR
018103,UGRD,BCH403LEC
018784,UGRD,IE436LEC
019066,UGRD,GGS379SEM
019273,UGRD,PSC301LEC
019359,UGRD,PGY300LEC
019362,UGRD,PGY451LEC
019515,UGRD,SOC304LEC
019521,UGRD,SOC322LEC
300093,UGRD,END304LEC
300156,UGRD,NSG393SEM
300596,UGRD,PUB340LEC
301237,UGRD,EAS494SEM
301712,UGRD,ART331LLB
302464,UGRD,HIS345LEC
302517,UGRD,NBC410LLB
302621,UGRD,MDI471LEC
302648,UGRD,BE436LR
302687,UGRD,NSG314LEC
302846,UGRD,ENS493SEM
015938,UGRD,SPA152LEC
015941,UGRD,SPA172LEC
015942,UGRD,SPA207LEC
015943,UGRD,SPA208LEC
015944,UGRD,SPA210LEC
015945,UGRD,SPA215LEC
015946,UGRD,SPA216LEC
016226,UGRD,SPA225LEC
016231,UGRD,SPA241LEC
001294,UGRD,GEO100LEC
001463,UGRD,APY105LEC
301654,UGRD,HIS143LR
001326,UGRD,GEO333LEC
009888,UGRD,DMS213LEC
013095,UGRD,HIS302LEC
013115,UGRD,HIS322LEC
013854,UGRD,LIN106LEC
000031,UGRD,HIS314LEC
009911,UGRD,DMS333LEC
009933,UGRD,DMS406SEM
012620,UGRD,PSC413LEC
013381,UGRD,HIS328LEC
013770,UGRD,GGS334LEC
013776,UGRD,GGS347SEM
017143,UGRD,PSC328LEC
017587,UGRD,AAS280LEC
301672,UGRD,ENG211LEC
013820,UGRD,CHI104LEC
013823,UGRD,CHI201LEC
017199,UGRD,GRE101LEC
301810,UGRD,GRE102LEC
015934,UGRD,SPA104LEC
015937,UGRD,SPA151LEC
301929,UGRD,SPA151REC
002294,UGRD,COM240LEC
006337,UGRD,DMS107LEC
001492,UGRD,APY313LEC
005990,UGRD,AAS254LEC
008278,UGRD,ENG256LEC
009895,UGRD,DMS259SEM
015913,UGRD,ENG380LEC
016170,UGRD,MUS206LEC
017112,UGRD,PSC324LEC
017383,UGRD,AMS100LEC
017585,UGRD,AAS253LEC
301643,UGRD,AS347LEC
010174,UGRD,DMS410LEC
010176,UGRD,DMS411SEM
010182,UGRD,DMS414LEC
010194,UGRD,DMS425SEM
012606,UGRD,PSC393LEC
013262,UGRD,EE383LR
015456,UGRD,DMS448SEM
015892,UGRD,ENG373LEC
015916,UGRD,ENG381LEC
016527,UGRD,MUS301LEC
016528,UGRD,MUS302LEC
018783,UGRD,IE435LEC
019562,UGRD,BE304LR
300854,UGRD,SOC330LEC
008990,UGRD,POR101LEC
008991,UGRD,POR102LEC
008641,UGRD,ITA151LEC
008642,UGRD,ITA152LEC
008647,UGRD,ITA207LEC
301691,UGRD,ITA104LEC
301928,UGRD,ITA151REC
302833,UGRD,END322DIS
303233,UGRD,IDS104SEM
303235,UGRD,IDS204LEC
303352,UGRD,IDS304SEM
303416,UGRD,IDS105SEM
001632,UGRD,GEO367LEC
018999,UGRD,SOC348LEC
300154,UGRD,END302LEC
300599,UGRD,GEO281LEC
303032,UGRD,EVS201LEC
303049,UGRD,EVS250LEC
303050,UGRD,EVS327LEC
303086,UGRD,END331SEM
001171,UGRD,END356SLB
001198,UGRD,END363LEC
001296,UGRD,GEO102LEC
001300,UGRD,GEO120LEC
001324,UGRD,GEO330LEC
001466,UGRD,APY108LEC
001506,UGRD,APY326LEC
005130,UGRD,END120LEC
005742,UGRD,SOC341LEC
005816,UGRD,ECO208LEC
016309,UGRD,EVS118LEC
017085,UGRD,PSC101LEC
017132,UGRD,PSC317LEC
023943,UGRD,EVS330LEC
301114,UGRD,DMS220LEC
301154,UGRD,IE322LEC
301574,UGRD,CL110LEC
301713,UGRD,ENG191LEC
301740,UGRD,AHI111LR
302667,UGRD,EAS330LEC
302877,UGRD,EVS321LEC
302928,UGRD,ENG125LEC
303111,UGRD,END330DIS
005317,UGRD,ART150LEC
006482,UGRD,CL100LEC
008550,UGRD,AMS145LEC
009086,UGRD,ARC121LEC
009342,UGRD,AHI105LEC
009614,UGRD,AHI204LEC
014284,UGRD,PHI234LEC
014977,UGRD,TH106LEC
015161,UGRD,AHI251LEC
015248,UGRD,AHI395LEC
017843,UGRD,END279LEC
001297,UGRD,GEO103LEC
005810,UGRD,ECO181LD
005812,UGRD,ECO182LD
000021,UGRD,HIS182LR
002287,UGRD,COM217LEC
005813,UGRD,ECO205LEC
006402,UGRD,PHI217LEC
013754,UGRD,GGS205LEC
301976,UGRD,MUS204LEC
001687,UGRD,MGO330LEC
002301,UGRD,COM317DIS
003538,UGRD,APY490SEM
003682,UGRD,MGF403LEC
004013,UGRD,MGM483LEC
004870,UGRD,CSE462LEC
008426,UGRD,CE408LR
010051,UGRD,CIE439LEC
010550,UGRD,IE306LR
010551,UGRD,IE320LEC
010554,UGRD,IE326LEC
010555,UGRD,IE327LEC
010665,UGRD,SPA323LEC
013618,UGRD,MAE277LEC
014833,UGRD,PSY331LEC
015287,UGRD,HIS391LEC
015666,UGRD,GGS414SEM
015829,UGRD,PSY437LEC
016196,UGRD,MUS365LEC
018347,UGRD,ECO405LEC
018349,UGRD,ECO407LEC
018356,UGRD,ECO435LEC
018781,UGRD,IE408LEC
018782,UGRD,IE409LEC
018820,UGRD,CIE493LEC
019131,UGRD,ES428LEC
300704,UGRD,IE414LEC
301004,UGRD,BE493SEM
008665,UGRD,ITA404SEM
008666,UGRD,ITA405LEC
008673,UGRD,ITA413LEC
008675,UGRD,ITA415LEC
008682,UGRD,ITA422LEC
008685,UGRD,ITA425LEC
017282,UGRD,KOR201LEC
017283,UGRD,KOR202LEC
011380,UGRD,KOR301LEC
017271,UGRD,KOR101LEC
017272,UGRD,KOR102LEC
004102,UGRD,JPN201LEC
004103,UGRD,JPN202LEC
004107,UGRD,JPN301LEC
001838,UGRD,SOC467LEC
001843,UGRD,SOC477SEM
006527,UGRD,CL287LEC
008036,UGRD,CL391LEC
015022,UGRD,TH325SEM
017056,UGRD,TH481SEM
300856,UGRD,SOC358LEC
302116,UGRD,MGG301LEC
302190,UGRD,MGG302LEC
302379,UGRD,MGG306SEM
303250,UGRD,MGG380LEC
301944,UGRD,UBC400TUT
301945,UGRD,UBC401TUT
301946,UGRD,UBC402TUT
301947,UGRD,UBC403TUT
301948,UGRD,UBC404TUT
301949,UGRD,UBC405TUT
007247,UGRD,RSP313LEC
018888,UGRD,CL113LEC
003204,UGRD,APY377LEC
003210,UGRD,APY393LEC
008045,UGRD,CL423LEC
009769,UGRD,RSP242LEC
013535,UGRD,ARI101LEC
017214,UGRD,HEB101LEC
018601,UGRD,JDS103LEC
018940,UGRD,ENG374LEC
005040,UGRD,RSP210LEC
009979,UGRD,JDS210LEC
009990,UGRD,JDS253LEC
010006,UGRD,JDS402LEC
010009,UGRD,JDS301LEC
010013,UGRD,JDS405LEC
010017,UGRD,JDS391LEC
014338,UGRD,PHI452SEM
018941,UGRD,ENG375LEC
300346,UGRD,AS338LEC
300416,UGRD,AMS325SEM
300607,UGRD,CL363LEC
013828,UGRD,CHI301LEC
013829,UGRD,CHI302LEC
013833,UGRD,CHI341LEC
013834,UGRD,CHI342LEC
013841,UGRD,CHI401LEC
008637,UGRD,ITA101LEC
008638,UGRD,ITA102LEC
015940,UGRD,SPA171LEC
000007,UGRD,HIS162LR
001631,UGRD,GEO366LEC
006500,UGRD,CL180LEC
006511,UGRD,CL210LEC
003510,UGRD,APY427LEC
003530,UGRD,APY474LEC
005726,UGRD,SOC315LEC
005839,UGRD,ECO421LEC
008021,UGRD,CL338LEC
008022,UGRD,CL339LEC
008044,UGRD,CL422LEC
009747,UGRD,CIE340LR
009748,UGRD,CIE343LLR
010045,UGRD,CIE429LR
010054,UGRD,CIE442LR
013380,UGRD,HIS327LEC
014305,UGRD,PHI360LEC
017119,UGRD,PSC293SEM
018353,UGRD,ECO416LEC
018915,UGRD,CL336LEC
018916,UGRD,CL337LEC
301027,UGRD,HIS448SEM
301158,UGRD,CSE469LEC
001464,UGRD,APY106LEC
006307,UGRD,HIS161LR
008524,UGRD,AMS107LEC
000020,UGRD,HIS181LR
005714,UGRD,SOC206LEC
008521,UGRD,AMS102LEC
010002,UGRD,JDS284LEC
017113,UGRD,PSC225LEC
017586,UGRD,AAS261LEC
018891,UGRD,CL223LEC
301239,UGRD,ECO201LEC
301610,UGRD,COL200LEC
301970,UGRD,LIS205LEC
302556,UGRD,SSC235LEC
001327,UGRD,GEO334LEC
001521,UGRD,SOC387LEC
006796,UGRD,ENG398LEC
014295,UGRD,PHI345LEC
015004,UGRD,TH301LEC
017134,UGRD,PSC319LEC
017150,UGRD,PSC335LEC
019274,UGRD,PSC302LEC
300073,UGRD,SOC331LEC
009189,UGRD,POL101LEC
009190,UGRD,POL102LEC
005724,UGRD,SOC309LEC
005820,UGRD,ECO212LEC
301029,UGRD,HIS217LEC
001519,UGRD,SOC384LEC
003072,UGRD,ASI400SEM
004560,UGRD,CSE331LR
005611,UGRD,MT403LLB
005734,UGRD,SOC328LEC
013152,UGRD,AAS425SEM
013318,UGRD,MUS118LEC
014292,UGRD,PHI342LEC
015670,UGRD,GGS425SEM
015906,UGRD,ENG371LEC
018785,UGRD,IE441LEC
019258,UGRD,GGS421SEM
019560,UGRD,BE403LR
300935,UGRD,BE472LEC
301705,UGRD,CE220LEC
006958,UGRD,GER101LEC
006959,UGRD,GER102LEC
007763,UGRD,FR102LEC
007778,UGRD,FR151LEC
007779,UGRD,FR152LEC
301936,UGRD,FR151REC
005957,UGRD,AAS100LEC
005962,UGRD,AAS128SEM
013309,UGRD,MUS110LEC
302197,UGRD,SW140LEC
302198,UGRD,SW150LEC
302320,UGRD,ART100LEC
303097,UGRD,SW130SEM
303231,UGRD,IDS101LEC
303232,UGRD,IDS103LEC
000481,UGRD,SOC204SEM
004530,UGRD,ASL211LEC
008293,UGRD,ENG271LEC
009998,UGRD,JDS267LEC
017588,UGRD,AAS293SEM
019228,UGRD,PHI162LEC
019270,UGRD,PSC215LEC
023931,UGRD,AAS117SEM
300072,UGRD,TH220LEC
302290,UGRD,SW220LEC
303179,UGRD,RLL201LEC
303195,UGRD,JDS275LEC
303234,UGRD,IDS301LEC
303237,UGRD,IDS207SEM
303247,UGRD,IDS272LEC
000150,UGRD,AAS358SEM
008928,UGRD,AMS301SEM
010553,UGRD,IE323LLB
014291,UGRD,PHI341LEC
015165,UGRD,AHI363LEC
015571,UGRD,ENG341LEC
017703,UGRD,AAS355SEM
302221,UGRD,ENG397LEC
302358,UGRD,AS333LEC
302510,UGRD,SOC395SEM
303264,UGRD,IDS312SEM
006382,UGRD,PHI101LEC
014785,UGRD,PSY101LEC
013863,UGRD,LIN207LEC
017344,UGRD,ENG377LEC
010567,UGRD,IE477LR
013229,UGRD,EE178LLB
013855,UGRD,LIN108LEC
013861,UGRD,LIN205LEC
013864,UGRD,LIN275LEC
013868,UGRD,LIN315LEC
014280,UGRD,PHI328LEC
014283,UGRD,PHI333LEC
014311,UGRD,PHI370LEC
016572,UGRD,EVS238LEC
019010,UGRD,LIN414SEM
300627,UGRD,CE341LEC
017215,UGRD,HEB102LEC
013314,UGRD,MUS115LEC
013316,UGRD,MUS116LEC
301611,UGRD,ENG110LEC
007764,UGRD,FR104LEC
009967,UGRD,JDS111LEC
018890,UGRD,CL222LEC
301843,UGRD,ENG288LR
301844,UGRD,ENG289LR
005713,UGRD,SOC205LEC
006526,UGRD,CL361LEC
006543,UGRD,CL315LEC
006544,UGRD,CL316LEC
007303,UGRD,DAC430LEC
008265,UGRD,ENG231LEC
008266,UGRD,ENG232LEC
008269,UGRD,ENG241LEC
008270,UGRD,ENG242LEC
008313,UGRD,ENG305LEC
009743,UGRD,CIE324LR
013308,UGRD,MUS109LEC
015235,UGRD,AHI380LEC
015837,UGRD,PSY447LEC
016197,UGRD,MUS366LEC
018858,UGRD,AHI448LEC
300374,UGRD,CL340LEC
300858,UGRD,SOC362LEC
002599,UGRD,ELP405LEC
004455,UGRD,NSG368LEC
006547,UGRD,ENG385LEC
006817,UGRD,ENG418SEM
008294,UGRD,ENG272LEC
010057,UGRD,CIE344LEC
012609,UGRD,PSC401LEC
015572,UGRD,ENG342LEC
017768,UGRD,CSE474LEC
018362,UGRD,ECO464SEM
018557,UGRD,APY477SEM
019278,UGRD,PSC314LEC
019561,UGRD,BE201LR
013824,UGRD,CHI202LEC
010651,UGRD,SPA301LEC
010652,UGRD,SPA302LEC
010654,UGRD,SPA304LEC
010657,UGRD,SPA311LEC
010659,UGRD,SPA313LEC
010667,UGRD,SPA327LEC
010668,UGRD,SPA328LEC
010680,UGRD,SPA407LEC
010685,UGRD,SPA413LEC
010688,UGRD,SPA416LEC
010693,UGRD,SPA421LEC
010698,UGRD,SPA435LEC
018257,UGRD,SPA350LEC
001462,UGRD,APY104LEC
002285,UGRD,COM202SEM
009093,UGRD,ARC231LR
009948,UGRD,GR101LEC
010022,UGRD,LAT101LEC
013542,UGRD,CHI101LEC
015217,UGRD,AHI207LEC
302287,UGRD,SW245LEC
302380,UGRD,MGG205SEM
303244,UGRD,MOH101SEM
303251,UGRD,SCN101SEM
303270,UGRD,TUS101SEM
002777,UGRD,MTR302LEC
010580,UGRD,IE494LEC
013270,UGRD,EE494SEM
013923,UGRD,MAE434LEC
013962,UGRD,MAE494LT
014052,UGRD,GGS330SEM
016195,UGRD,MUS364LEC
302113,UGRD,CSE450LEC
302259,UGRD,BMI401LEC
302620,UGRD,MDI450LEC
302847,UGRD,ENS494SEM
302857,UGRD,CIE359LEC
303181,UGRD,PSC348LEC
007762,UGRD,FR101LEC
013536,UGRD,ARI102LEC
007784,UGRD,FR211LEC
007785,UGRD,FR212LEC
300851,UGRD,FR213LEC
007793,UGRD,FR301LEC
007794,UGRD,FR302LEC
008098,UGRD,FR341LEC
008100,UGRD,FR345LEC
008102,UGRD,FR349LEC
300478,UGRD,FR305LEC
006487,UGRD,CL105LEC
008565,UGRD,AMS197SEM
008913,UGRD,AMS276LEC
301651,UGRD,COL112LEC
302346,UGRD,RLL175LEC
302545,UGRD,PHI376LEC
302547,UGRD,AS345LEC
302605,UGRD,PSC347LEC
303283,UGRD,ASL306LEC
303401,UGRD,JPN321LEC
008258,UGRD,ENG221LEC
008885,UGRD,IDS231SEM
013100,UGRD,HIS307LEC
013827,UGRD,CHI280LEC
015219,UGRD,AHI258LEC
302029,UGRD,COL233LEC
302975,UGRD,HIS273LEC
303064,UGRD,AS364LEC
303336,UGRD,IDS270LEC
303366,UGRD,RUS250LEC
303322,UGRD,PSC349SEM
303348,UGRD,SW111LEC
303353,UGRD,IDS330SEM
303354,UGRD,IDS332SEM
001635,UGRD,GEO381LLB
008429,UGRD,CE419DIS
009910,UGRD,DMS331LEC
014281,UGRD,PHI329LEC
015463,UGRD,DMS457SEM
015468,UGRD,DMS474SEM
019372,UGRD,GEO481LLB
019373,UGRD,GEO483LLB
019374,UGRD,GEO485LEC
300812,UGRD,CSE468LEC
301165,UGRD,ES472LEC
002343,UGRD,COM460LEC
002322,UGRD,COM410LEC
003490,UGRD,APY402SEM
006976,UGRD,ENG349LEC
008425,UGRD,CE407LEC
009198,UGRD,POL338LEC
012420,UGRD,ES330LEC
014300,UGRD,PHI252LEC
017522,UGRD,POL324LEC
019363,UGRD,PGY452LEC
300345,UGRD,AS383LEC
300628,UGRD,NBC353LEC
010270,UGRD,COL160LEC
013105,UGRD,HIS311LEC
015275,UGRD,HIS379LEC
018173,UGRD,HIS376LEC
009215,UGRD,RUS223LEC
009216,UGRD,RUS224LEC
009221,UGRD,RUS301LEC
009222,UGRD,RUS302LEC
017220,UGRD,HEB201LEC
017221,UGRD,HEB202LEC
004108,UGRD,JPN302LEC
014972,UGRD,TH101LEC
007009,UGRD,DAC103LEC
007586,UGRD,ART473LAB
008689,UGRD,ITA429LEC
009742,UGRD,CIE323LR
010681,UGRD,SPA408LEC
010694,UGRD,SPA423LEC
015005,UGRD,TH302LEC
106464,UGRD,SPA319LEC
001096,UGRD,SSC343LEC
302910,UGRD,PHI353LEC
008886,UGRD,IDS232SEM
010562,UGRD,IE420LLB
301950,UGRD,JDS216LEC
001496,UGRD,APY210LEC
300828,UGRD,ASL101LEC
300885,UGRD,ASL102LEC
000033,UGRD,HIS215LEC
014832,UGRD,PSY325LEC
301639,UGRD,PUB210LEC
301641,UGRD,PUB220LEC
001432,UGRD,SSC420SEM
002546,UGRD,NSG250LEC
013420,UGRD,HIS366LEC
014276,UGRD,PHI321LEC
014829,UGRD,PSY322LEC
015553,UGRD,ENG323LEC
015902,UGRD,ENG389LEC
016566,UGRD,SSC318SEM
017773,UGRD,CSE490LEC
018004,UGRD,GEO412LEC
018352,UGRD,ECO411LEC
019527,UGRD,MT402LR
019551,UGRD,BE406LR
300601,UGRD,BE420LEC
300629,UGRD,NBC354LEC
300701,UGRD,IE425LEC
300779,UGRD,EE379LLB
300861,UGRD,SOC378LEC
300967,UGRD,BE450LEC
301003,UGRD,HIS447SEM
301198,UGRD,SOC385LEC
302035,UGRD,PHI240LEC
303351,UGRD,IDS302LEC
010016,UGRD,JDS389LEC
302333,UGRD,APY355SEM
001497,UGRD,APY215LEC
017003,UGRD,TH390LEC
000126,UGRD,AAS324LEC
001177,UGRD,END319LEC
013313,UGRD,MUS114LEC
014313,UGRD,PHI380LEC
015896,UGRD,ENG368LEC
010024,UGRD,LAT301LEC
010025,UGRD,LAT302LEC
005731,UGRD,SOC321LEC
015905,UGRD,ENG370LEC
002295,UGRD,COM242LEC
003266,UGRD,GEO425LEC
009894,UGRD,DMS332SEM
015465,UGRD,DMS462SEM
015472,UGRD,DMS484SEM
015474,UGRD,DMS486LEC
018780,UGRD,IE406LEC
300700,UGRD,IE411LEC
301156,UGRD,COM360LEC
015932,UGRD,SPA102LEC
013842,UGRD,CHI402LEC
009356,UGRD,ARC300LEC
004554,UGRD,CSE241LLB
004559,UGRD,CSE321LR
004562,UGRD,CSE341LR
005437,UGRD,END301LEC
009745,UGRD,CIE327LLB
009879,UGRD,DMS121SEM
010058,UGRD,CIE449LEC
013619,UGRD,MAE311LEC
013626,UGRD,MAE364LEC
013628,UGRD,MAE377LLB
013924,UGRD,MAE436LEC
015327,UGRD,HIS429SEM
017290,UGRD,MAE464LLB
300647,UGRD,CIE416LEC
015931,UGRD,SPA101LEC
009949,UGRD,GR201LEC
009203,UGRD,RUS101LEC
009204,UGRD,RUS102LEC
301889,UGRD,AHI150LR
015889,UGRD,ENG329LEC
006831,UGRD,ENG429SEM
010569,UGRD,IE482LEC
013382,UGRD,HIS329LEC
015556,UGRD,ENG326LEC
018086,UGRD,PHI248LEC
003189,UGRD,APY353LEC
003517,UGRD,APY437LEC
003520,UGRD,APY441SEM
006513,UGRD,CL362LEC
006960,UGRD,GER104LEC
005815,UGRD,ECO207LEC
300482,UGRD,HIN101LEC
300483,UGRD,HIN102LEC
013543,UGRD,CHI102LEC
010023,UGRD,LAT201LEC
004565,UGRD,CSE379LLB
005838,UGRD,ECO412LEC
008285,UGRD,ENG263LEC
013629,UGRD,MAE381LEC
023917,UGRD,END305LEC
301652,UGRD,ENG291LEC
011381,UGRD,KOR302LEC
003167,UGRD,APY320SEM
004759,UGRD,NSG470LEC
014275,UGRD,PHI320LEC
014837,UGRD,PSY341LEC
017962,UGRD,LIN342LEC
300626,UGRD,BE460LEC
106114,UGRD,CHI191LEC
106116,UGRD,CHI192LEC
106118,UGRD,CHI193LEC
004544,UGRD,CSE115LLR
